Typical Measured Spectrum of Semrock FF02-409/LP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
488.2	0.98165
488.4	0.98251
488.6	0.98358
488.8	0.98457
489.0	0.98517
489.2	0.98582
489.4	0.98651
489.6	0.9873
489.8	0.98739
490.0	0.98823
490.2	0.98875
490.4	0.98913
490.6	0.98944
490.8	0.98962
491.0	0.98955
491.2	0.98971
491.4	0.98987
491.6	0.98973
491.8	0.98965
492.0	0.98945
492.2	0.98939
492.4	0.98944
492.6	0.9885
492.8	0.98798
493.0	0.98819
493.2	0.98663
493.4	0.98692
493.6	0.98615
493.8	0.98573
494.0	0.98576
494.2	0.98449
494.4	0.98378
494.6	0.98333
494.8	0.98306
495.0	0.98278
495.2	0.98235
495.4	0.98194
495.6	0.98176
495.8	0.98119
496.0	0.98123
496.2	0.98123
496.4	0.98126
496.6	0.98097
496.8	0.98127
497.0	0.98165
497.2	0.98221
497.4	0.98209
497.6	0.98279
497.8	0.98297
498.0	0.98315
498.2	0.98399
498.4	0.98436
498.6	0.98541
498.8	0.98586
499.0	0.98648
499.2	0.98742
499.4	0.98772
499.6	0.98812
499.8	0.98889
500.0	0.98849
500.2	0.98858
500.4	0.98828
500.6	0.98937
500.8	0.99
501.0	0.9901
501.2	0.99164
501.4	0.99086
501.6	0.99183
501.8	0.99138
502.0	0.99238
502.2	0.99286
502.4	0.99269
502.6	0.99306
502.8	0.99241
503.0	0.99262
503.2	0.99234
503.4	0.99339
503.6	0.99207
503.8	0.99214
504.0	0.99141
504.2	0.99148
504.4	0.99132
504.6	0.99015
504.8	0.98957
505.0	0.98919
505.2	0.98828
505.4	0.98765
505.6	0.98605
505.8	0.98577
506.0	0.98528
506.2	0.98426
506.4	0.98417
506.6	0.98298
506.8	0.98249
507.0	0.98202
507.2	0.98126
507.4	0.98098
507.6	0.98059
507.8	0.98068
508.0	0.98032
508.2	0.98006
508.4	0.98086
508.6	0.98004
508.8	0.98094
509.0	0.98096
509.2	0.98017
509.4	0.98123
509.6	0.98121
509.8	0.98237
510.0	0.9815
510.2	0.98238
510.4	0.98264
