Typical Measured Spectrum of Semrock FF436/514/604-Di01 Optical Filter	
Values near or below 1e-6 are measurement noise limited.	
Form of data:  Wavelength (nm) <tab> Transmission (0 to 1)	
494.2	0.009422651
494.4	0.009202661
494.6	0.00894912
494.8	0.008665103
495	0.0083901
495.2	0.008037292
495.4	0.007699319
495.6	0.007332358
495.8	0.006941988
496	0.0065724
496.2	0.006161848
496.4	0.005776941
496.6	0.005405555
496.8	0.005048216
497	0.0047145
497.2	0.004374268
497.4	0.00405859
497.6	0.003736677
497.8	0.003413788
498	0.0031188
498.2	0.002831961
498.4	0.002571503
498.6	0.002333312
498.8	0.002115654
499	0.0019183
499.2	0.001766942
499.4	0.001627527
499.6	0.001516866
499.8	0.001430473
500	0.001349
500.2	0.001281185
500.4	0.001216779
500.6	0.001167802
500.8	0.001132621
501	0.0010985
501.2	0.001090779
501.4	0.001083113
501.6	0.001090063
501.8	0.001111913
502	0.0011342
502.2	0.001179136
502.4	0.001225852
502.6	0.001277146
502.8	0.001333433
503	0.0013922
503.2	0.001474441
503.4	0.00156154
503.6	0.001666126
503.8	0.001790985
504	0.0019252
504.2	0.002118763
504.4	0.002331786
504.6	0.002593421
504.8	0.002914976
505	0.0032764
505.2	0.003736177
505.4	0.004260474
505.6	0.004899693
505.8	0.00568277
506	0.006591
506.2	0.007787011
506.4	0.009200052
506.6	0.010932487
506.8	0.013066429
507	0.0156169
507.2	0.018694205
507.4	0.022377893
507.6	0.026638597
507.8	0.031534323
508	0.0373298
508.2	0.043108144
508.4	0.049780928
508.6	0.056644466
508.8	0.063510105
509	0.0712079
509.2	0.077980398
509.4	0.08539702
509.6	0.092657387
509.8	0.099608741
510	0.1070816
510.2	0.11375924
510.4	0.12043688
510.6	0.12697992
510.8	0.13338836
511	0.1397968
511.2	0.14626536
511.4	0.15273392
511.6	0.15967334
511.8	0.16708362
512	0.1744939
512.2	0.1842625
512.4	0.1940311
512.6	0.20625586
512.8	0.22093678
513	0.2356177
513.2	0.25664922
513.4	0.27768074
513.6	0.30131916
513.8	0.32756448
514	0.3538098
514.2	0.383592
514.4	0.4133742
514.6	0.44365002
514.8	0.47441946
515	0.5051889
515.2	0.53490942
515.4	0.56462994
515.6	0.59339284
515.8	0.62119812
516	0.6490034
516.2	0.6736688
516.4	0.6983342
516.6	0.72133384
516.8	0.74266772
517	0.7640016
517.2	0.78202736
517.4	0.80005312
517.6	0.81647658
517.8	0.83129774
518	0.8461189
518.2	0.85734106
518.4	0.86856322
518.6	0.8780366
518.8	0.8857612
519	0.8934858
519.2	0.89836768
519.4	0.90324956
519.6	0.90713538
519.8	0.91002514
520	0.9129149
520.2	0.9143527
520.4	0.9157905
520.6	0.9170982
520.8	0.9182758
521	0.9194534
521.2	0.92021648
521.4	0.92097956
521.6	0.9216059
521.8	0.9220955
522	0.9225851
522.2	0.92270494
522.4	0.92282478
522.6	0.92302292
522.8	0.92329936
523	0.9235758
523.2	0.92359724
523.4	0.92361868
523.6	0.92378848
523.8	0.92410664
524	0.9244248
524.2	0.92506752
524.4	0.92571024
524.6	0.92627826
524.8	0.92677158
525	0.9272649
525.2	0.92796066
525.4	0.92865642
525.6	0.92915396
525.8	0.92945328
526	0.9297526
526.2	0.93030064
526.4	0.93084868
526.6	0.93142934
526.8	0.93204262
527	0.9326559
527.2	0.9329429
527.4	0.9332299
527.6	0.93339016
527.8	0.93342368
528	0.9334572
528.2	0.93345432
528.4	0.93345144
528.6	0.93342448
528.8	0.93337344
529	0.9333224
529.2	0.93343608
529.4	0.93354976
529.6	0.93330934
529.8	0.93271482
530	0.9321203
530.2	0.93177286
530.4	0.93142542
530.6	0.9309754
530.8	0.9304228
531	0.9298702
531.2	0.92892736
531.4	0.92798452
531.6	0.92734848
531.8	0.92701924
532	0.92669
532.2	0.92601124
532.4	0.92533248
532.6	0.9248692
532.8	0.9246214
533	0.9243736
533.2	0.92415988
533.4	0.92394616
533.6	0.92376318
533.8	0.92361094
534	0.9234587
534.2	0.92390358
534.4	0.92434846
534.6	0.92494006
534.8	0.92567838
535	0.9264167
535.2	0.9267013
535.4	0.9269859
535.6	0.92777572
535.8	0.92907076
536	0.9303658
536.2	0.93078832
536.4	0.93121084
536.6	0.93173534
536.8	0.93236182
537	0.9329883
537.2	0.93406338
537.4	0.93513846
537.6	0.935944
537.8	0.93648
538	0.937016
538.2	0.93719808
538.4	0.93738016
538.6	0.93754206
538.8	0.93768378
539	0.9378255
539.2	0.9376887
539.4	0.9375519
539.6	0.93724906
539.8	0.93678018
540	0.9363113
540.2	0.9351229
540.4	0.9339345
540.6	0.93292442
540.8	0.93209266
541	0.9312609
541.2	0.9295211
541.4	0.9277813
541.6	0.92644226
541.8	0.92550398
542	0.9245657
542.2	0.92346838
542.4	0.92237106
542.6	0.92110552
542.8	0.91967176
543	0.918238
543.2	0.91704904
543.4	0.91586008
543.6	0.91476038
543.8	0.91374994
544	0.9127395
544.2	0.9123731
544.4	0.9120067
544.6	0.91095996
544.8	0.90923288
545	0.9075058
545.2	0.90474764
545.4	0.90198948
545.6	0.89796878
545.8	0.89268554
546	0.8874023
546.2	0.87809162
546.4	0.86878094
546.6	0.85764836
546.8	0.84469388
547	0.8317394
547.2	0.81584008
547.4	0.79994076
547.6	0.78227556
547.8	0.76284448
548	0.7434134
548.2	0.72216536
548.4	0.70091732
548.6	0.67921012
548.8	0.65704376
549	0.6348774
549.2	0.61214304
549.4	0.58940868
549.6	0.56722674
549.8	0.54559722
550	0.5239677
550.2	0.50321702
550.4	0.48246634
550.6	0.46248154
550.8	0.44326262
551	0.4240437
551.2	0.40629678
551.4	0.38854986
551.6	0.37161042
551.8	0.35547846
552	0.3393465
552.2	0.32420426
552.4	0.30906202
552.6	0.29432886
552.8	0.28000478
553	0.2656807
553.2	0.25272474
553.4	0.23976878
553.6	0.22736292
553.8	0.21550716
554	0.2036514
554.2	0.19333216
554.4	0.18301292
554.6	0.17306682
554.8	0.16349386
555	0.1539209
555.2	0.14501846
555.4	0.13611602
555.6	0.1275457
555.8	0.1193075
556	0.1110693
556.2	0.1034743
556.4	0.0958793
556.6	0.088273352
556.8	0.081122487
557	0.0745509
557.2	0.06804402
557.4	0.062105068
557.6	0.0564359
557.8	0.051059342
558	0.046195
558.2	0.041624281
558.4	0.037505807
558.6	0.0337886
558.8	0.030434193
559	0.0274128
559.2	0.024822051
559.4	0.022476151
559.6	0.020416129
559.8	0.018603388
560	0.0169516
560.2	0.015598391
560.4	0.014353206
560.6	0.013295398
560.8	0.012397585
561	0.0115604
561.2	0.01087345
561.4	0.010227321
561.6	0.009673128
561.8	0.009199888
562	0.0087498
562.2	0.008398195
562.4	0.008060718
562.6	0.007758457
562.8	0.007488429
563	0.0072278
563.2	0.007050595
563.4	0.006877734
563.6	0.00672849
563.8	0.006601497
564	0.0064769
564.2	0.00630901
564.4	0.006145472
564.6	0.006003347
564.8	0.005881334
565	0.0057618
565.2	0.005639252
565.4	0.005519311
565.6	0.005412469
565.8	0.005318061
566	0.0052253
566.2	0.005104825
566.4	0.004987127
