Typical Measured Spectrum of Semrock BLP01-647R Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6,5) are measurement noise limited,
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5,5) are measurement noise limited, 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
390,0	6,4591e-07
390,2	4,3553e-07
390,4	2,9368e-07
390,6	1,9802e-07
390,8	1,3353e-07
391,0	9,0036e-08
391,2	6,0711e-08
391,4	4,0937e-08
391,6	2,7603e-08
391,8	1,8613e-08
392,0	1,255e-08
392,2	1,2417e-08
392,4	1,2285e-08
392,6	1,2154e-08
392,8	1,2025e-08
393,0	1,3016e-08
393,2	1,4591e-08
393,4	1,6356e-08
393,6	1,8335e-08
393,8	2,0553e-08
394,0	2,3039e-08
394,2	2,5826e-08
394,4	2,895e-08
394,6	3,2452e-08
394,8	3,6378e-08
395,0	4,0779e-08
395,2	4,5712e-08
395,4	5,1242e-08
395,6	5,7441e-08
395,8	6,4389e-08
396,0	7,2178e-08
396,2	8,091e-08
396,4	9,0698e-08
396,6	1,0e-07
396,8	1,0e-07
397,0	1,0e-07
397,2	1,0e-07
397,4	1,0e-07
397,6	1,0e-07
397,8	1,0e-07
398,0	1,0e-07
398,2	1,0e-07
398,4	1,0e-07
398,6	1,0e-07
398,8	1,0e-07
399,0	1,0e-07
399,2	1,0e-07
399,4	1,0e-07
399,6	1,0e-07
399,8	1,0e-07
400,0	1,0e-07
400,2	1,0e-07
400,4	1,0e-07
400,6	1,0e-07
400,8	1,0e-07
401,0	1,0e-07
401,2	1,0e-07
401,4	1,0e-07
401,6	1,0e-07
401,8	1,0e-07
402,0	1,0e-07
402,2	1,0e-07
402,4	1,0e-07
402,6	1,0e-07
402,8	1,0e-07
403,0	1,0e-07
403,2	1,0e-07
403,4	1,0e-07
403,6	1,0e-07
403,8	1,0e-07
404,0	1,0e-07
404,2	1,0e-07
404,4	1,0e-07
404,6	1,0e-07
404,8	1,0e-07
405,0	1,0e-07
405,2	1,0e-07
405,4	1,0e-07
405,6	1,0e-07
405,8	1,0e-07
406,0	1,0e-07
406,2	1,0e-07
406,4	1,0e-07
406,6	1,0e-07
406,8	1,0e-07
407,0	1,0e-07
407,2	1,0e-07
407,4	1,0e-07
407,6	1,0e-07
407,8	1,0e-07
408,0	1,0e-07
408,2	1,0e-07
408,4	1,0e-07
408,6	1,0e-07
408,8	1,0e-07
409,0	1,0e-07
409,2	1,0e-07
409,4	1,0e-07
409,6	1,0e-07
409,8	1,0e-07
410,0	1,0e-07
410,2	1,0e-07
410,4	1,0e-07
410,6	1,0e-07
410,8	1,0e-07
411,0	1,0e-07
411,2	1,0e-07
411,4	1,0e-07
411,6	1,0e-07
411,8	1,0e-07
412,0	1,0e-07
412,2	1,0e-07
412,4	1,0e-07
412,6	1,0e-07
412,8	1,0e-07
413,0	1,0e-07
413,2	1,0e-07
413,4	1,0e-07
413,6	1,0e-07
413,8	1,0e-07
414,0	1,0e-07
414,2	1,0e-07
414,4	1,0e-07
414,6	1,0e-07
414,8	1,0e-07
415,0	1,0e-07
415,2	1,0e-07
415,4	1,0e-07
415,6	1,0e-07
415,8	1,0e-07
416,0	1,0e-07
416,2	1,0e-07
416,4	1,0e-07
416,6	1,0e-07
416,8	1,0e-07
417,0	1,0e-07
417,2	1,0e-07
417,4	1,0e-07
417,6	1,0e-07
417,8	1,0e-07
418,0	1,0e-07
418,2	1,0e-07
418,4	1,0e-07
418,6	1,0e-07
418,8	1,0e-07
419,0	1,0e-07
419,2	1,0e-07
419,4	1,0e-07
419,6	1,0e-07
419,8	1,0e-07
420,0	1,0e-07
420,2	1,0e-07
420,4	1,0e-07
420,6	1,0e-07
420,8	1,0e-07
421,0	1,0e-07
421,2	1,0e-07
421,4	1,0e-07
421,6	1,0e-07
421,8	1,0e-07
422,0	1,0e-07
422,2	1,0e-07
422,4	1,0e-07
422,6	1,0e-07
422,8	1,0e-07
423,0	1,0e-07
423,2	1,0e-07
423,4	1,0e-07
423,6	1,0e-07
423,8	1,0e-07
424,0	1,0e-07
424,2	1,0e-07
424,4	1,0e-07
424,6	1,0e-07
424,8	1,0e-07
425,0	1,0e-07
425,2	1,0e-07
425,4	1,0e-07
425,6	1,0e-07
425,8	1,0e-07
426,0	1,0e-07
426,2	1,0e-07
426,4	2,2016e-07
426,6	5,3702e-07
426,8	1,31e-06
427,0	3,1954e-06
427,2	3,1708e-06
427,4	3,1465e-06
427,6	3,1223e-06
427,8	3,0983e-06
428,0	3,0745e-06
428,2	3,0509e-06
428,4	3,0274e-06
428,6	3,0041e-06
428,8	2,9811e-06
429,0	2,9581e-06
429,2	2,9354e-06
429,4	2,9129e-06
429,6	2,8905e-06
429,8	2,8683e-06
430,0	2,8462e-06
430,2	2,8791e-06
430,4	3,0336e-06
430,6	3,1964e-06
430,8	3,3679e-06
431,0	3,5486e-06
431,2	3,739e-06
431,4	3,9397e-06
431,6	4,1511e-06
431,8	4,3738e-06
432,0	4,6085e-06
432,2	4,8558e-06
432,4	5,1164e-06
432,6	5,391e-06
432,8	5,6803e-06
433,0	5,9851e-06
433,2	6,3062e-06
433,4	6,6446e-06
433,6	7,0012e-06
