Typical Measured Spectrum of Semrock FF593-Di02 Optical Filter	
Values near or below 1e-6 are measurement noise limited.	
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)	
418	0.51659075
418.2	0.535424713676542
418.4	0.554945329577828
418.6	0.571711887121318
418.8	0.585436071158851
419	0.59948971
419.2	0.60566609490248
419.4	0.611906113475109
419.6	0.613624905533877
419.8	0.61078423758205
420	0.60795672
420.2	0.59369851657598
420.4	0.579774705976634
420.6	0.559576505136365
420.8	0.533785270415224
421	0.50918277
421.2	0.473581221322948
421.4	0.440468897228662
421.6	0.404653651225341
421.8	0.367196998268238
422	0.33320751
422.2	0.297927811326379
422.4	0.266383494062684
422.6	0.237575038379058
422.8	0.211344785560038
423	0.18801057
423.2	0.168375118405863
423.4	0.150790354490114
423.6	0.13621701702783
423.8	0.124122731505176
424	0.11310226
424.2	0.105253694384159
424.4	0.0979497684795507
424.6	0.0923561764016515
424.8	0.0882317596664892
425	0.08429153
425.2	0.0825278829329824
425.4	0.0808011369754475
425.6	0.0800613131575057
425.8	0.0802816733199174
426	0.08050264
426.2	0.082584518909933
426.4	0.084720237293896
426.6	0.0878152586384063
426.8	0.0919701949236607
427	0.09632172
427.2	0.102715419666709
427.4	0.109533524082712
427.6	0.117788651842882
427.8	0.127733501079732
428	0.13851799
428.2	0.152131062751057
428.4	0.167081981580632
428.6	0.18412828609569
428.8	0.203606003405322
429	0.22514414
429.2	0.248894802798252
429.4	0.275150944901256
429.6	0.302989554922634
429.8	0.332342416933021
430	0.36453891
430.2	0.395169319052962
430.4	0.428373450507058
430.6	0.461478205071334
430.8	0.494048020218861
431	0.52891652
431.2	0.55905260255855
431.4	0.590905749034815
431.6	0.619980446530283
431.8	0.645701812202413
432	0.67249029
432.2	0.689198681809451
432.4	0.706322202820035
432.6	0.7173573598277
432.8	0.722008879123597
433	0.72669056
433.2	0.717936417879817
433.4	0.70928773330715
433.6	0.694803995978762
433.8	0.674847369173225
434	0.65546395
434.2	0.628449526359824
434.4	0.602548480632514
434.6	0.576047106485169
434.8	0.549121457617089
435	0.52345437
435.2	0.499010500576048
435.4	0.475708092159319
435.6	0.454857391728706
435.8	0.436228300311586
436	0.41836218
436.2	0.405410724906037
436.4	0.392860214727914
436.6	0.383308755006193
436.8	0.376554031128811
437	0.36991834
437.2	0.368820015434091
437.4	0.367724951903717
437.6	0.369112020074014
437.8	0.373009374479271
