Typical Measured Spectrum of Semrock FF01-561/14 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
471	6.0725E-07
471.2	6.5756E-07
471.4	7.1205E-07
471.6	7.7104E-07
471.8	8.3493E-07
472	9.041E-07
472.2	9.7901E-07
472.4	1.0601E-06
472.6	1.148E-06
472.8	1.2431E-06
473	1.2767E-06
473.2	1.2971E-06
473.4	1.3178E-06
473.6	1.3389E-06
473.8	1.3603E-06
474	1.382E-06
474.2	1.4041E-06
474.4	1.4266E-06
474.6	1.4494E-06
474.8	1.4725E-06
475	1.4606E-06
475.2	1.4359E-06
475.4	1.4116E-06
475.6	1.3878E-06
475.8	1.3644E-06
476	1.3413E-06
476.2	1.3186E-06
476.4	1.2964E-06
476.6	1.2745E-06
476.8	1.2529E-06
477	1.2437E-06
477.2	1.2414E-06
477.4	1.2391E-06
477.6	1.2367E-06
477.8	1.2344E-06
478	1.2321E-06
478.2	1.2298E-06
478.4	1.2275E-06
478.6	1.2252E-06
478.8	1.223E-06
479	1.2262E-06
479.2	1.2342E-06
479.4	1.2422E-06
479.6	1.2502E-06
479.8	1.2584E-06
480	1.2665E-06
480.2	1.2748E-06
480.4	1.283E-06
480.6	1.2914E-06
480.8	1.2998E-06
481	1.3044E-06
481.2	1.2962E-06
481.4	1.288E-06
481.6	1.2799E-06
481.8	1.2718E-06
482	1.2638E-06
482.2	1.2558E-06
482.4	1.2479E-06
482.6	1.24E-06
482.8	1.2322E-06
483	1.2322E-06
483.2	1.2341E-06
483.4	1.2359E-06
483.6	1.2378E-06
483.8	1.2397E-06
484	1.2416E-06
484.2	1.2435E-06
484.4	1.2454E-06
484.6	1.2473E-06
484.8	1.2492E-06
485	1.2655E-06
485.2	1.2877E-06
485.4	1.3104E-06
485.6	1.3334E-06
