Typical Measured Spectrum of Semrock FF01-457/530/628 Optical Filter	
Values near or below 1e-6 are measurement noise limited.	
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
471.8	4.4032e-04
472.0	2.6934e-04
472.2	1.3405e-04
472.4	6.4719e-05
472.6	3.9018e-05
472.8	2.4007e-05
473.0	1.5424e-05
473.2	9.9098e-06
473.4	6.3074e-06
473.6	4.0048e-06
473.8	2.8036e-06
474.0	2.0276e-06
474.2	1.4716e-06
474.4	1.0811e-06
474.6	7.9427e-07
474.8	6.363e-07
475.0	5.2902e-07
475.2	4.4165e-07
475.4	3.6966e-07
475.6	3.1366e-07
475.8	3.0562e-07
476.0	2.9778e-07
476.2	2.5396e-07
476.4	1.9547e-07
476.6	1.6814e-07
476.8	1.6058e-07
477.0	1.5337e-07
477.2	1.6528e-07
477.4	1.7833e-07
477.6	1.9599e-07
477.8	2.2001e-07
478.0	2.3467e-07
478.2	2.3358e-07
478.4	2.3249e-07
478.6	1.8956e-07
478.8	1.5117e-07
479.0	1.3388e-07
479.2	1.4122e-07
479.4	1.4385e-07
479.6	1.3651e-07
479.8	1.2954e-07
480.0	1.527e-07
480.2	1.8972e-07
480.4	1.5335e-07
480.6	4.2155e-08
480.8	1.8531e-08
481.0	3.7557e-08
481.2	7.6115e-08
481.4	9.2895e-08
481.6	9.2622e-08
481.8	8.6611e-08
482.0	6.1605e-08
482.2	4.8683e-08
482.4	7.1567e-08
482.6	1.0521e-07
482.8	1.1323e-07
483.0	1.0065e-07
483.2	8.3228e-08
483.4	3.4515e-08
483.6	1.5283e-08
483.8	2.3504e-08
484.0	3.6146e-08
484.2	5.4204e-08
484.4	7.9486e-08
484.6	1.1606e-07
484.8	7.2306e-08
485.0	4.5047e-08
485.2	5.8278e-08
485.4	8.1047e-08
485.6	1.1135e-07
485.8	1.5006e-07
486.0	2.0221e-07
486.2	1.6916e-07
486.4	1.3137e-07
486.6	1.2949e-07
486.8	1.345e-07
487.0	1.1959e-07
487.2	7.3967e-08
487.4	4.5751e-08
487.6	4.5651e-08
487.8	5.2337e-08
488.0	3.6346e-08
488.2	2.087e-08
488.4	1.4192e-08
488.6	1.8597e-08
488.8	2.437e-08
489.0	3.0334e-08
489.2	3.6854e-08
489.4	5.0466e-08
489.6	7.4135e-08
489.8	1.0253e-07
490.0	8.4816e-08
490.2	7.0162e-08
490.4	8.5033e-08
490.6	1.3512e-07
490.8	9.6999e-08
491.0	3.4901e-08
491.2	1.2751e-08
491.4	1.2683e-08
491.6	1.2616e-08
491.8	1.93e-08
492.0	4.6215e-08
492.2	7.6532e-08
492.4	8.075e-08
492.6	8.5202e-08
492.8	9.6879e-08
493.0	1.1083e-07
493.2	1.1738e-07
493.4	1.1101e-07
493.6	1.0338e-07
493.8	9.3016e-08
494.0	8.3691e-08
494.2	7.7747e-08
494.4	7.2842e-08
494.6	6.7776e-08
494.8	6.1892e-08
495.0	5.3201e-08
495.2	3.6904e-08
495.4	2.5599e-08
495.6	3.7461e-08
495.8	7.607e-08
496.0	1.3175e-07
496.2	1.0778e-07
496.4	8.9761e-08
496.6	8.4752e-08
496.8	8.0022e-08
497.0	8.0567e-08
497.2	8.459e-08
497.4	8.7369e-08
497.6	7.5635e-08
497.8	6.6069e-08
498.0	7.7228e-08
498.2	9.0271e-08
498.4	9.2398e-08
498.6	8.325e-08
498.8	7.5007e-08
499.0	6.9299e-08
499.2	6.4042e-08
499.4	5.9339e-08
499.6	5.4992e-08
499.8	5.2549e-08
500.0	5.2387e-08
500.2	5.2226e-08
500.4	4.7229e-08
500.6	4.225e-08
500.8	2.5981e-08
501.0	1.4915e-08
501.2	1.1793e-08
501.4	1.8129e-08
501.6	2.7869e-08
501.8	3.3748e-08
502.0	3.8572e-08
502.2	4.679e-08
502.4	5.812e-08
502.6	7.1088e-08
502.8	8.1571e-08
503.0	9.3602e-08
503.2	9.7829e-08
503.4	9.765e-08
503.6	6.5597e-08
503.8	3.4568e-08
504.0	1.996e-08
504.2	2.6232e-08
504.4	3.4474e-08
504.6	5.0049e-08
504.8	7.8094e-08
505.0	8.3378e-08
505.2	6.3152e-08
505.4	4.7973e-08
