Typical Measured Spectrum of Semrock FF436/514/604-Di01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
518.2	0.92709
518.4	0.93365
518.6	0.93617
518.8	0.93951
519.0	0.94107
519.2	0.94105
519.4	0.94061
519.6	0.94185
519.8	0.94177
520.0	0.94297
520.2	0.94319
520.4	0.94582
520.6	0.94528
520.8	0.94793
521.0	0.94833
521.2	0.94893
521.4	0.94861
521.6	0.94902
521.8	0.94985
522.0	0.94953
522.2	0.94667
522.4	0.94625
522.6	0.9443
522.8	0.94497
523.0	0.94444
523.2	0.94298
523.4	0.94054
523.6	0.93718
523.8	0.93482
524.0	0.933
524.2	0.93225
524.4	0.93256
524.6	0.93056
524.8	0.9286
525.0	0.9285
525.2	0.93036
525.4	0.93432
525.6	0.93317
525.8	0.93339
526.0	0.93381
526.2	0.93458
526.4	0.93608
526.6	0.93706
526.8	0.93743
527.0	0.93789
527.2	0.93739
527.4	0.93797
527.6	0.9386
527.8	0.93477
528.0	0.9352
528.2	0.93493
528.4	0.93522
528.6	0.93567
528.8	0.93348
529.0	0.9363
529.2	0.93562
529.4	0.93472
529.6	0.93369
529.8	0.93202
530.0	0.93138
530.2	0.93025
530.4	0.93238
530.6	0.9305
530.8	0.93067
531.0	0.93316
531.2	0.93381
531.4	0.93506
531.6	0.93494
531.8	0.9358
532.0	0.9381
532.2	0.93807
532.4	0.93839
532.6	0.93625
532.8	0.9363
533.0	0.9349
533.2	0.93528
533.4	0.93689
533.6	0.93703
533.8	0.93768
534.0	0.93719
534.2	0.93986
534.4	0.93949
534.6	0.94136
534.8	0.94034
535.0	0.94386
535.2	0.94447
535.4	0.94704
535.6	0.94762
535.8	0.9469
536.0	0.94572
536.2	0.94618
536.4	0.94753
536.6	0.94862
536.8	0.951
537.0	0.94932
537.2	0.95086
537.4	0.9519
537.6	0.95103
537.8	0.95224
538.0	0.95204
538.2	0.95374
538.4	0.95205
538.6	0.95277
538.8	0.95176
539.0	0.95149
539.2	0.95026
539.4	0.94976
539.6	0.94916
539.8	0.95051
540.0	0.94934
540.2	0.94913
540.4	0.94546
540.6	0.94324
540.8	0.94065
541.0	0.93719
541.2	0.93507
541.4	0.93329
541.6	0.93055
541.8	0.9269
542.0	0.9255
542.2	0.92335
542.4	0.92014
542.6	0.91751
542.8	0.91264
543.0	0.91104
543.2	0.90966
543.4	0.90745
543.6	0.90753
543.8	0.90693
544.0	0.9079
544.2	0.91022
544.4	0.91146
544.6	0.91195
544.8	0.91381
545.0	0.91591
545.2	0.91789
545.4	0.91872
545.6	0.91924
545.8	0.92102
546.0	0.92046
546.2	0.92026
546.4	0.9179
546.6	0.91289
546.8	0.90708
547.0	0.90045
547.2	0.89064
547.4	0.87742
547.6	0.86185
547.8	0.84246
548.0	0.82119
548.2	0.79529
548.4	0.76714
548.6	0.73817
548.8	0.70512
549.0	0.67117
549.2	0.63646
549.4	0.60054
549.6	0.56561
549.8	0.53103
550.0	0.49612
550.2	0.46357
550.4	0.43392
550.6	0.40676
550.8	0.38428
551.0	0.36439
551.2	0.34815
551.4	0.33765
551.6	0.32849
551.8	0.31986
552.0	0.313
552.2	0.30897
552.4	0.30604
552.6	0.3021
552.8	0.2987
553.0	0.29465
553.2	0.28981
553.4	0.28342
553.6	0.27564
553.8	0.26592
554.0	0.25567
554.2	0.24372
554.4	0.22943
554.6	0.21462
554.8	0.19918
555.0	0.1831
555.2	0.16708
555.4	0.15063
555.6	0.13566
555.8	0.12112
556.0	0.10756
556.2	0.09489
556.4	0.0836
556.6	0.07288
556.8	0.06384
557.0	0.05594
557.2	0.04964
557.4	0.04381
557.6	0.03863
557.8	0.03409
558.0	0.03052
558.2	0.02731
558.4	0.0246
558.6	0.02276
558.8	0.02071
559.0	0.01892
559.2	0.01732
559.4	0.01592
559.6	0.01466
559.8	0.01359
560.0	0.01287
560.2	0.01204
560.4	0.01129
560.6	0.01071
560.8	0.01007
561.0	0.00957
561.2	0.00913
561.4	0.00868
561.6	0.00835
561.8	0.00808
562.0	0.00775
562.2	0.00755
562.4	0.00728
562.6	0.00711
562.8	0.00705
563.0	0.00693
563.2	0.00679
563.4	0.00666
563.6	0.00657
563.8	0.00649
564.0	0.00638
564.2	0.00631
564.4	0.00621
564.6	0.00614
564.8	0.00607
565.0	0.00595
565.2	0.00588
565.4	0.0058
565.6	0.0057
