Typical Measured Spectrum of Semrock FF01-650/150 Optical Filter	
"For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited."	
"For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. "	
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)	
585.6	0.993237397
585.8	0.993068332
586	0.993008662
586.2	0.992402017
586.4	0.991904767
586.6	0.991656142
586.8	0.991347846
587	0.990432906
587.2	0.989696976
587.4	0.989080385
587.6	0.98789693
587.8	0.988105775
588	0.986912375
588.2	0.986027269
588.4	0.985828369
588.6	0.984973099
588.8	0.984833869
589	0.984406234
589.2	0.984097938
589.4	0.983779698
589.6	0.983441568
589.8	0.983660358
590	0.983501238
590.2	0.983720028
590.4	0.983879148
590.6	0.984087993
590.8	0.984446014
591	0.984963154
591.2	0.985321174
591.4	0.985679194
591.6	0.986325619
591.8	0.986663749
592	0.987409625
592.2	0.98777759
592.4	0.988722365
592.6	0.98887154
592.8	0.989508021
593	0.990074886
593.2	0.990641751
593.4	0.991109166
593.6	0.991487076
593.8	0.991874932
594	0.992441797
594.2	0.992670532
594.4	0.993088222
594.6	0.993386572
594.8	0.994192118
595	0.994221953
595.2	0.994162283
595.4	0.994470578
595.6	0.994749038
595.8	0.994878323
596	0.994689368
596.2	0.994937993
596.4	0.994719203
596.6	0.994599863
596.8	0.994709258
597	0.994391018
597.2	0.994898213
597.4	0.994271678
597.6	0.994570028
597.8	0.994251788
598	0.994221953
598.2	0.993953437
598.4	0.993883822
598.6	0.994182173
598.8	0.994032998
599	0.993446242
599.2	0.993018607
599.4	0.993346792
599.6	0.993157837
599.8	0.992700367
600	0.992939047
600.2	0.992551192
600.4	0.992213062
600.6	0.992183227
600.8	0.992232952
601	0.992193172
601.2	0.992322457
601.4	0.992511412
601.6	0.992183227
601.8	0.992232952
602	0.992043997
602.2	0.992302567
602.4	0.993137947
602.6	0.993267232
602.8	0.993446242
603	0.993436297
603.2	0.993923602
603.4	0.994231898
603.6	0.994729148
603.8	0.994768928
604	0.995107058
604.2	0.995017553
604.4	0.995962328
604.6	0.995972273
604.8	0.996071723
605	0.996539139
605.2	0.996340238
605.4	0.996728094
605.6	0.996718149
605.8	0.996708204
606	0.997096059
606.2	0.997135839
606.4	0.997314849
606.6	0.996389964
606.8	0.996340238
607	0.996449634
607.2	0.996071723
607.4	0.995803208
607.6	0.995892713
607.8	0.995415353
608	0.996012053
608.2	0.996380018
608.4	0.995932493
608.6	0.995435243
608.8	0.994898213
609	0.994739093
609.2	0.994729148
609.4	0.994221953
609.6	0.994381073
609.8	0.994172228
610	0.993714757
610.2	0.993953437
610.4	0.993764482
610.6	0.993635197
610.8	0.993744592
611	0.993814207
611.2	0.993694867
611.4	0.994042943
611.6	0.994212008
611.8	0.994152338
612	0.994729148
612.2	0.994997663
612.4	0.995196563
612.6	0.995614253
612.8	0.995723648
613	0.995902658
613.2	0.996469524
613.4	0.997145784
613.6	0.996897159
613.8	0.997225344
614	0.997304904
614.2	0.997265124
614.4	0.997633089
614.6	0.997643034
614.8	0.997672869
615	0.997583364
615.2	0.997782264
615.4	0.997891659
615.6	0.997603254
615.8	0.997364574
616	0.996996609
616.2	0.996827544
616.4	0.996489414
616.6	0.996081668
616.8	0.995305958
617	0.994768928
617.2	0.994122503
617.4	0.993446242
617.6	0.993267232
617.8	0.992859487
618	0.992034052
618.2	0.991477131
618.4	0.991049496
618.6	0.990413016
618.8	0.989617416
619	0.98905055
619.2	0.98861297
619.4	0.988384235
619.6	0.98779748
619.8	0.98753891
620	0.986892485
620.2	0.986683639
620.4	0.986216224
620.6	0.986385289
620.8	0.985957654
621	0.985917874
621.2	0.985778644
621.4	0.985530019
621.6	0.985888039
621.8	0.985997434
622	0.985758754
622.2	0.985520074
622.4	0.986017324
622.6	0.986196334
622.8	0.986295784
623	0.986355454
623.2	0.986693584
623.4	0.98751902
623.6	0.98759858
623.8	0.987688085
624	0.987906875
624.2	0.98849363
624.4	0.9887522
624.6	0.989100275
624.8	0.988980935
625	0.989448351
625.2	0.989915766
